Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
MEYDAN ONE,Unit,Flat,1182930,105.31,105.79,3 B/R,0.43
MEYDAN ONE,Unit,Flat,479864,45.22,45.22,Studio,0.11
MEYDAN ONE,Unit,Flat,268040,32.64,32.64,Studio,0.28
MBR DISTRICT 1,Unit,Flat,2200000,119.62,120.69,2 B/R,0.47
Wadi Al Safa 3,Building,Villa,4433800,629.25,629.25,5 B/R,0.07
MBR DISTRICT 1,Unit,Flat,813843,100.61,101.86,2 B/R,0.48
Wadi Al Safa 3,Building,Villa,4000000,615.96,615.96,5 B/R,0.01
MEYDAN ONE,Unit,Flat,377910,38.45,38.45,Studio,0.13
MBR DISTRICT 1,Unit,Flat,1462344,120.44,121.76,2 B/R,0.22
Wadi Al Safa 3,Building,Villa,4360161,651.65,651.65,5 B/R,0.1
MEYDAN ONE,Unit,Flat,424000,27.99,27.99,Studio,0.42
Wadi Al Safa 3,Building,Villa,4917975,442,442,5 B/R,0.17
MEYDAN ONE,Unit,Flat,375116,33.16,33.16,Studio,0.34
MEYDAN ONE,Unit,Flat,340238,48.02,48.02,1 B/R,0.44
MEYDAN ONE,Unit,Flat,452641,44.88,44.9,1 B/R,0.55
Wadi Al Safa 3,Building,Villa,5500000,455.52,455.52,5 B/R,0.04
MEYDAN ONE,Unit,Flat,507520,35.33,35.33,Studio,0.06
MEYDAN ONE,Unit,Flat,626300,79.29,79.29,2 B/R,0.55
Wadi Al Safa 3,Building,Villa,4077621.8,543.65,543.65,5 B/R,0.12
MEYDAN ONE,Unit,Flat,777750,46.25,46.25,1 B/R,0.12
MEYDAN ONE,Unit,Flat,324762,31.14,31.14,Studio,0.5
MEYDAN ONE,Unit,Flat,516208,45.49,45.49,Studio,0.55
MEYDAN ONE,Unit,Flat,495726,73.12,73.12,1 B/R,0.34
MEYDAN ONE,Unit,Flat,300000,53.36,53.36,1 B/R,0.2
MEYDAN ONE,Unit,Flat,544050,44.35,44.35,1 B/R,0.4
BUSINESS BAY,Unit,Flat,1760000,90.58,90.62,1 B/R,0.25
ARABIAN RANCHES III,Building,Villa,2097920,144.84,144.84,3 B/R,0.54
MEYDAN ONE,Unit,Flat,708368,54.42,54.5,1 B/R,0.01
MEYDAN ONE,Unit,Flat,446272,39.19,39.19,Studio,0.05
MEYDAN ONE,Unit,Flat,414730,54.38,54.38,1 B/R,0.27
MEYDAN ONE,Unit,Flat,393750,34.54,34.54,Studio,0.02
MEYDAN AVENUE,Unit,Flat,909090,85.87,85.87,2 B/R,0.53
MEYDAN ONE,Unit,Flat,298018,34.15,34.15,Studio,0.36
MEYDAN ONE,Unit,Flat,541086,53.35,53.35,1 B/R,0.26
MEYDAN ONE,Unit,Flat,897000,71.13,71.13,2 B/R,0.26
